ticker,status,rows,reason
EPAM,ok,5,
CTSH,ok,5,
ACN,ok,5,
INFY,ok,5,
WIT,ok,5,
GLOB,ok,5,
PEGA,ok,5,
EXLS,ok,5,
KFRC,ok,5,
MMS,ok,5,
PRFT,skipped,0,insufficient data
LDOS,ok,5,
SAIC,ok,5,
BAH,ok,5,
CACI,ok,5,
MANT,skipped,0,insufficient data
ICFI,ok,5,
CLPS,skipped,0,insufficient data
NOW,ok,5,
CRM,ok,5,
WDAY,ok,5,
VEEV,ok,5,
HUBS,ok,5,
ZEN,skipped,0,insufficient data
DDOG,ok,5,
MDB,ok,5,
ESTC,ok,5,
FIVN,ok,5,
PCTY,ok,5,
PAYC,ok,5,
ORCL,ok,5,
SAP,ok,5,
MSFT,ok,5,
IBM,ok,5,
ANSS,skipped,0,insufficient data
PTC,ok,5,
AZPN,skipped,0,insufficient data
CDNS,ok,5,
SNPS,ok,5,
MANH,ok,5,
PANW,ok,5,
CRWD,ok,5,
FTNT,ok,5,
ZS,ok,5,
OKTA,ok,5,
S,ok,5,
TENB,ok,5,
CYBR,skipped,0,insufficient data
VRNT,ok,5,
QLYS,ok,5,
PLTR,ok,5,
SNOW,ok,5,
DOMO,ok,5,
NCNO,ok,5,
ALKT,ok,5,
SPSC,ok,5,
NTAP,ok,5,
PSTG,ok,5,
HPE,ok,5,
DELL,ok,5,
STX,ok,5,
ANET,ok,5,
JNPR,skipped,0,insufficient data
CSCO,ok,5,
ERIC,ok,5,
NOK,ok,5,
CIEN,ok,5,
INFN,skipped,0,insufficient data
VIAV,ok,5,
FISV,ok,5,
FIS,ok,5,
JKHY,ok,5,
EVTC,ok,5,
WEX,ok,5,
